atlas,system,api_name,type,api_url,called_by,functional
Brazil,images,image_licences,metadata/licences,https://images.sibbr.gov.br/images/ws/licence,show_all-licences,TRUE
Brazil,lists,lists_all,metadata/lists,https://specieslist.sibbr.gov.br/ws/speciesList/,show_all-lists,TRUE
Brazil,lists,lists_lookup,metadata/lists-unnest,https://specieslist.sibbr.gov.br/ws/speciesListItems/{list_id},show_values-lists,TRUE
Brazil,images,image_metadata,metadata/media,https://images.sibbr.gov.br/images/ws/image/,media_metadata,FALSE
Brazil,collections,collections_providers,metadata/providers,https://collectory.sibbr.gov.br/collectory/ws/dataProvider,show_all-providers,TRUE
Brazil,species,names_search_single,metadata/taxa-single,https://bie-webservice.sibbr.gov.br/bie-index/search?q={name}&pageSize=5,search_taxa,TRUE
Brazil,species,species_children,metadata/taxa-unnest,https://bie-webservice.sibbr.gov.br/bie-index/childConcepts/{id},atlas_taxonomy,TRUE
Brazil,records,records_query,,https://biocache-service.sibbr.gov.br/biocache-service/webportal/params,atlas_occurrences,TRUE
Canada,records,records_occurrences,data/occurrences,http://explorer-ws.canadensys.net/occurrences/offline/download,atlas_occurrences,TRUE
Canada,records,records_counts,data/occurrences-count,http://explorer-ws.canadensys.net/occurrences/search,atlas_counts,TRUE
Canada,records,records_facets,data/occurrences-count-groupby,http://explorer-ws.canadensys.net/occurrence/facets,atlas_counts,TRUE
Canada,records,records_species,data/species,http://explorer-ws.canadensys.net/occurrences/facets/download,atlas_species,TRUE
Canada,records,records_facets,data/species-count,http://explorer-ws.canadensys.net/occurrence/facets,atlas_counts,TRUE
Canada,records,records_assertions,metadata/assertions,http://explorer-ws.canadensys.net/assertions/codes,show_all-assertions,TRUE
Canada,collections,collections_collections,metadata/collections,http://collections.canadensys.net/ws/collection,show_all-collections,TRUE
Canada,collections,collections_datasets,metadata/datasets,http://collections.canadensys.net/ws/dataResource,show_all-datasets,TRUE
Canada,records,records_fields,metadata/fields,http://explorer-ws.canadensys.net/index/fields,show_all-fields,TRUE
Canada,records,records_facets,metadata/fields-unnest,http://explorer-ws.canadensys.net/occurrence/facets,show_values-fields,TRUE
Canada,collections,collections_providers,metadata/providers,http://collections.canadensys.net/ws/dataProvider,show_all-providers,TRUE
Canada,logger,logger_reasons,metadata/reasons,http://logger.canadensys.net/service/logger/reasons,show_all-reasons,TRUE
Canada,species,names_search_single,metadata/taxa-single,https://api.gbif.org/v1/species/match?verbose=FALSE&name={name},search_taxa,TRUE
Canada,records,records_query,,http://explorer-ws.canadensys.net/webportal/params,atlas_occurrences,TRUE
Estonia,records,records_counts,data/occurrences-count,https://elurikkus.ee/biocache-service/occurrences/search,atlas_counts,TRUE
Estonia,records,records_facets,data/occurrences-count-groupby,https://elurikkus.ee/biocache-service/occurrence/facets,atlas_counts,TRUE
Estonia,records,records_species,data/species,https://elurikkus.ee/biocache-service/occurrences/facets/download,atlas_species,TRUE
Estonia,records,records_facets,data/species-count,https://elurikkus.ee/biocache-service/occurrence/facets,atlas_counts,TRUE
Estonia,records,records_assertions,metadata/assertions,https://elurikkus.ee/biocache-service/assertions/codes,show_all-assertions,TRUE
Estonia,collections,collections_collections,metadata/collections,https://elurikkus.ee/collectory/ws/collection,show_all-collections,TRUE
Estonia,collections,collections_datasets,metadata/datasets,https://elurikkus.ee/collectory/ws/dataResource,show_all-datasets,TRUE
Estonia,records,records_fields,metadata/fields,https://elurikkus.ee/biocache-service/index/fields,show_all-fields,TRUE
Estonia,records,records_facets,metadata/fields-unnest,https://elurikkus.ee/biocache-service/occurrence/facets,show_values-fields,TRUE
Estonia,collections,collections_providers,metadata/providers,https://elurikkus.ee/collectory/ws/dataProvider,show_all-providers,TRUE
Estonia,species,names_search_single,metadata/taxa-single,https://elurikkus.ee/bie-index/search?q={name}&pageSize=5,search_taxa,TRUE
Estonia,species,species_children,metadata/taxa-unnest,https://elurikkus.ee/bie-index/childConcepts/{id},atlas_taxonomy,TRUE
Estonia,records,records_query,,https://elurikkus.ee/biocache-service/webportal/params,atlas_occurrences,TRUE
France,records,records_occurrences,data/occurrences,https://openobs.mnhn.fr/biocache-service/occurrences/offline/download,atlas_occurrences,TRUE
France,records,records_counts,data/occurrences-count,https://openobs.mnhn.fr/biocache-service/occurrences/search,atlas_counts,TRUE
France,records,records_facets,data/occurrences-count-groupby,https://openobs.mnhn.fr/biocache-service/occurrence/facets,atlas_counts,TRUE
France,records,records_species,data/species,https://openobs.mnhn.fr/biocache-service/occurrences/facets/download,atlas_species,TRUE
France,records,records_facets,data/species-count,https://openobs.mnhn.fr/biocache-service/occurrence/facets,atlas_counts,TRUE
France,records,records_assertions,metadata/assertions,https://openobs.mnhn.fr/biocache-service/assertions/codes,show_all-assertions,TRUE
France,collections,collections_collections,metadata/collections,https://openobs.mnhn.fr/collectory/ws/collection,show_all-collections,TRUE
France,collections,collections_datasets,metadata/datasets,https://openobs.mnhn.fr/collectory/ws/dataResource,show_all-datasets,TRUE
France,records,records_fields,metadata/fields,https://openobs.mnhn.fr/biocache-service/index/fields,show_all-fields,TRUE
France,records,records_facets,metadata/fields-unnest,https://openobs.mnhn.fr/biocache-service/occurrence/facets,show_values-fields,TRUE
France,name-matching,names_lookup,metadata/identifiers,https://taxref.mnhn.fr/api/taxa/,search_identifiers,TRUE
France,collections,collections_providers,metadata/providers,https://openobs.mnhn.fr/collectory/ws/dataProvider,show_all-providers,TRUE
France,name-matching,names_search_single,metadata/taxa-single,https://taxref.mnhn.fr/api/taxa/search?scientificNames={name}&page=1&size=5,search_taxa,TRUE
France,species,species_children,metadata/taxa-unnest,https://taxref.mnhn.fr/api/taxa/{id}/children,atlas_taxonomy,TRUE
France,records,records_query,,https://openobs.mnhn.fr/biocache-service/webportal/params,atlas_occurrences,TRUE
Global,records,records_occurrences,data/occurrences,https://api.gbif.org/v1/occurrence/download/request,atlas_occurrences,TRUE
Global,records,records_counts,data/occurrences-count,https://api.gbif.org/v1/occurrence/search,"atlas_counts, show_values-fields",TRUE
Global,collections,collections_collections,metadata/collections,https://api.gbif.org/v1/grscicoll/collection,show_all-collections,TRUE
Global,collections,collections_datasets,metadata/datasets,https://api.gbif.org/v1/dataset,show_all-datasets,TRUE
Global,collections,collections_providers,metadata/providers,https://api.gbif.org/v1/organization,show_all-providers,TRUE
Global,species,names_search_single,metadata/taxa-single,https://api.gbif.org/v1/species/match?verbose=FALSE&name={name},search_taxa,TRUE
Global,species,species_children,metadata/taxa-unnest,https://api.gbif.org/v1/species/{id}/children,atlas_taxonomy,TRUE
Global,collections,collections_collections_search,,https://api.gbif.org/v1/grscicoll/search,search_all-collections,TRUE
Global,collections,collections_datasets_search,,https://api.gbif.org/v1/dataset/search,search_all-datasets,TRUE
Guatemala,records,records_occurrences,data/occurrences,https://snib.conap.gob.gt/registros-ws/occurrences/offline/download,atlas_occurrences,TRUE
Guatemala,records,records_counts,data/occurrences-count,https://snib.conap.gob.gt/registros-ws/occurrences/search,atlas_counts,TRUE
Guatemala,records,records_facets,data/occurrences-count-groupby,https://snib.conap.gob.gt/registros-ws/occurrence/facets,atlas_counts,TRUE
Guatemala,records,records_species,data/species,https://snib.conap.gob.gt/registros-ws/occurrences/facets/download,atlas_species,TRUE
Guatemala,records,records_facets,data/species-count,https://snib.conap.gob.gt/registros-ws/occurrence/facets,atlas_counts,TRUE
Guatemala,records,records_assertions,metadata/assertions,https://snib.conap.gob.gt/registros-ws/assertions/codes,show_all-assertions,TRUE
Guatemala,collections,collections_collections,metadata/collections,https://snib.conap.gob.gt/colecciones/ws/collection,show_all-collections,TRUE
Guatemala,collections,collections_datasets,metadata/datasets,https://snib.conap.gob.gt/colecciones/ws/dataResource,show_all-datasets,TRUE
Guatemala,records,records_fields,metadata/fields,https://snib.conap.gob.gt/registros-ws/index/fields,show_all-fields,TRUE
Guatemala,records,records_facets,metadata/fields-unnest,https://snib.conap.gob.gt/registros-ws/occurrence/facets,show_values-fields,TRUE
Guatemala,images,image_licences,metadata/licences,https://imagenes.snib.conap.gob.gt/licence,show_all-licences,TRUE
Guatemala,images,image_metadata,metadata/media,https://imagenes.snib.conap.gob.gt/image/,media_metadata,TRUE
Guatemala,collections,collections_providers,metadata/providers,https://snib.conap.gob.gt/colecciones/ws/dataProvider,show_all-providers,TRUE
Guatemala,logger,logger_reasons,metadata/reasons,https://snib.conap.gob.gt/logger/service/logger/reasons,show_all-reasons,TRUE
Guatemala,species,names_search_single,metadata/taxa-single,https://snib.conap.gob.gt/especies-ws/search?q={name}&pageSize=5,search_taxa,TRUE
Guatemala,species,species_children,metadata/taxa-unnest,https://snib.conap.gob.gt/especies-ws/childConcepts/{id},atlas_taxonomy,TRUE
Guatemala,records,records_query,,https://snib.conap.gob.gt/registros-ws/webportal/params,atlas_occurrences,TRUE
Portugal,images,image_metadata,data/media,https://imagens.gbif.pt/ws/image/,media_metadata,FALSE
Portugal,records,records_counts,data/occurrences-count,https://registos-ws.gbif.pt/occurrences/search,atlas_counts,TRUE
Portugal,records,records_facets,data/occurrences-count-groupby,https://registos-ws.gbif.pt/occurrence/facets,atlas_counts,TRUE
Portugal,records,records_species,data/species,https://registos-ws.gbif.pt/occurrences/facets/download,atlas_species,TRUE
Portugal,records,records_facets,data/species-count,https://registos-ws.gbif.pt/occurrence/facets,atlas_counts,TRUE
Portugal,records,records_assertions,metadata/assertions,https://registos-ws.gbif.pt/assertions/codes,show_all-assertions,TRUE
Portugal,collections,collections_collections,metadata/collections,https://metadados.gbif.pt/ws/collection,show_all-collections,TRUE
Portugal,collections,collections_datasets,metadata/datasets,https://metadados.gbif.pt/ws/dataResource,show_all-datasets,TRUE
Portugal,records,records_fields,metadata/fields,https://registos-ws.gbif.pt/index/fields,show_all-fields,TRUE
Portugal,records,records_facets,metadata/fields-unnest,https://registos-ws.gbif.pt/occurrence/facets,show_values-fields,TRUE
Portugal,images,image_licences,metadata/licences,https://imagens.gbif.pt/ws/licence,show_all-licences,TRUE
Portugal,collections,collections_providers,metadata/providers,https://metadados.gbif.pt/ws/dataProvider,show_all-providers,TRUE
Portugal,logger,logger_reasons,metadata/reasons,https://logger.gbif.pt/service/logger/reasons,show_all-reasons,TRUE
Portugal,species,names_search_single,metadata/taxa-single,https://api.gbif.org/v1/species/match?verbose=FALSE&name={name},search_taxa,TRUE
Portugal,species,species_children,metadata/taxa-unnest,https://api.gbif.org/v1/species/{id}/children,atlas_taxonomy,TRUE
Portugal,records,records_query,,https://registos-ws.gbif.pt/webportal/params,atlas_occurrences,TRUE
Spain,images,image_metadata,data/media,https://imagenes.gbif.es/ws/image/,media_metadata,FALSE
Spain,records,records_occurrences,data/occurrences,https://registros-ws.gbif.es/occurrences/offline/download,atlas_occurrences,TRUE
Spain,records,records_counts,data/occurrences-count,https://registros-ws.gbif.es/occurrences/search,atlas_counts,TRUE
Spain,records,records_facets,data/occurrences-count-groupby,https://registros-ws.gbif.es/occurrence/facets,atlas_counts,TRUE
Spain,doi,doi_download,data/occurrences-doi,https://doi.gbif.es/doi/{doi_string}/download,doi_download,TRUE
Spain,records,records_species,data/species,https://registros-ws.gbif.es/occurrences/facets/download,atlas_species,TRUE
Spain,records,records_facets,data/species-count,https://registros-ws.gbif.es/occurrence/facets,atlas_counts,TRUE
Spain,records,records_assertions,metadata/assertions,https://registros-ws.gbif.es/assertions/codes,show_all-assertions,TRUE
Spain,collections,collections_collections,metadata/collections,https://colecciones.gbif.es/ws/collection,show_all-collections,TRUE
Spain,collections,collections_datasets,metadata/datasets,https://colecciones.gbif.es/ws/dataResource,show_all-datasets,TRUE
Spain,records,records_fields,metadata/fields,https://registros-ws.gbif.es/index/fields,show_all-fields,TRUE
Spain,records,records_facets,metadata/fields-unnest,https://registros-ws.gbif.es/occurrence/facets,show_values-fields,TRUE
Spain,name-matching,names_lookup,metadata/identifiers,https://name-matching.gbif.es/api/getByTaxonID,search_identifiers,TRUE
Spain,images,image_licences,metadata/licences,https://imagenes.gbif.es/ws/licence,show_all-licences,TRUE
Spain,lists,lists_all,metadata/lists,https://listas.gbif.es/ws/speciesList,show_all-lists,TRUE
Spain,lists,lists_lookup,metadata/lists-unnest,https://listas.gbif.es/ws/speciesListItems/{list_id},show_values-lists,TRUE
Spain,data-quality,profiles_all,metadata/profiles,https://data-quality.gbif.es/api/v1/data-profiles,show_all-profiles,TRUE
Spain,data-quality,profiles_lookup,metadata/profiles-unnest,https://data-quality.gbif.es/api/v1/quality/activeProfile?profileName={profile},show_values-profiles,TRUE
Spain,collections,collections_providers,metadata/providers,https://colecciones.gbif.es/ws/dataProvider,show_all-providers,TRUE
Spain,logger,logger_reasons,metadata/reasons,https://logger.gbif.es/service/logger/reasons,show_all-reasons,TRUE
Spain,name-matching,names_search_multiple,metadata/taxa-multiple,https://name-matching.gbif.es/api/searchByClassification,search_taxa,TRUE
Spain,name-matching,names_search_single,metadata/taxa-single,https://name-matching.gbif.es/api/search?q={name},search_taxa,TRUE
Spain,species,species_children,metadata/taxa-unnest,https://especies-ws.gbif.es/childConcepts/{id},atlas_taxonomy,TRUE
Spain,records,records_query,,https://registros-ws.gbif.es/webportal/params,atlas_occurrences,TRUE
Sweden,images,image_metadata,data/media,https://images.biodiversitydata.se/ws/getImageInfoForIdList,atlas_media,FALSE
Sweden,records,records_occurrences,data/occurrences,https://records.biodiversitydata.se/ws/occurrences/offline/download,atlas_occurrences,TRUE
Sweden,records,records_counts,data/occurrences-count,https://records.biodiversitydata.se/ws/occurrences/search,atlas_counts,TRUE
Sweden,records,records_facets,data/occurrences-count-groupby,https://records.biodiversitydata.se/ws/occurrence/facets,atlas_counts,TRUE
Sweden,records,records_species,data/species,https://records.biodiversitydata.se/ws/occurrences/facets/download,atlas_species,TRUE
Sweden,records,records_facets,data/species-count,https://records.biodiversitydata.se/ws/occurrence/facets,atlas_counts,TRUE
Sweden,records,records_assertions,metadata/assertions,https://records.biodiversitydata.se/ws/assertions/codes,show_all-assertions,TRUE
Sweden,collections,collections_collections,metadata/collections,https://collections.biodiversitydata.se/ws/collection,show_all-collections,TRUE
Sweden,collections,collections_datasets,metadata/datasets,https://collections.biodiversitydata.se/ws/dataResource,show_all-datasets,TRUE
Sweden,records,records_fields,metadata/fields,https://records.biodiversitydata.se/ws/index/fields,show_all-fields,TRUE
Sweden,records,records_facets,metadata/fields-unnest,https://records.biodiversitydata.se/ws/occurrence/facets,show_values-fields,TRUE
Sweden,images,image_licences,metadata/licences,https://images.biodiversitydata.se/licence,show_all-licences,TRUE
Sweden,collections,collections_providers,metadata/providers,https://collections.biodiversitydata.se/ws/dataProvider,show_all-providers,TRUE
Sweden,logger,logger_reasons,metadata/reasons,https://logger.biodiversitydata.se/service/logger/reasons,show_all-reasons,TRUE
Sweden,species,names_search_single,metadata/taxa-single,https://species.biodiversitydata.se/ws/search?q={name}&pageSize=5,search_taxa,TRUE
Sweden,species,species_children,metadata/taxa-unnest,https://species.biodiversitydata.se/ws/childConcepts/{id},atlas_taxonomy,TRUE
Sweden,records,records_query,,https://records.biodiversitydata.se/ws/webportal/params,atlas_occurrences,TRUE
United Kingdom,records,records_occurrences,data/occurrences,https://records-ws.nbnatlas.org/occurrences/index/download,atlas_occurrences,TRUE
United Kingdom,records,records_counts,data/occurrences-count,https://records-ws.nbnatlas.org/occurrences/search,atlas_counts,TRUE
